Position (cm^-1)	Sample Intensity (V)
760	3.09460943981321e-7
765	8.38128016766859e-6
770	1.51635867950972e-5
775	2.30037585424725e-5
780	3.32829113176558e-5
785	4.49659091827925e-5
790	5.89458213653415e-5
795	7.35009234631434e-5
800	8.55543039506301e-5
805	9.30279202293605e-5
810	9.5670206064824e-5
815	9.43243139772676e-5
820	9.20636230148375e-5
825	9.14209158509038e-5
830	9.43014383665286e-5
835	1.0039583867183e-4
840	1.07094710983802e-4
845	1.10855413367972e-4
850	1.09401174995583e-4
855	1.0179792298004e-4
860	8.91197851160541e-5
865	7.30350147932768e-5
870	5.65343252674211e-5
875	4.21569347963668e-5
880	3.09589522657916e-5
885	2.2552792870556e-5
890	1.70038983924314e-5
895	1.42540575325256e-5
900	1.36343451231369e-5
905	1.36297067001578e-5
910	1.35319041874027e-5
915	1.3228283933131e-5
920	1.25314236356644e-5
925	1.13792639240273e-5
930	1.09064458229113e-5
935	1.19553560580243e-5
940	1.36960516101681e-5
945	1.41178561534616e-5
950	1.22180035759811e-5
955	8.52467292133952e-6
960	4.0494405766367e-6
965	1.25884798762854e-6
970	5.20499406775343e-6
975	2.21209666051436e-5
980	5.42105626664124e-5
985	9.5319701358676e-5
990	1.30943677504547e-4
995	1.49629835505039e-4
1000	1.48569873999804e-4
1005	1.35045542265289e-4
1010	1.16034134407528e-4
1015	9.59424578468315e-5
1020	7.66235389164649e-5
1025	6.01395695412066e-5
1030	4.76896020700224e-5
1035	4.03297126467805e-5
1040	3.66407875844743e-5
1045	3.66602216672618e-5
1050	4.07876723329537e-5
1055	4.93399202241562e-5
1060	6.2573621107731e-5
1065	8.1491467426531e-5
1070	1.06464671262074e-4
1075	1.37117138365284e-4
1080	1.70459810760804e-4
1085	2.03569288714789e-4
1090	2.32640537433326e-4
1095	2.52092082519084e-4
1100	2.56978441029787e-4
1105	2.4466123431921e-4
1110	2.16140761040151e-4
1115	1.74984015757218e-4
1120	1.27030623843893e-4
1125	8.17452964838594e-5
1130	4.77664325444493e-5
1135	2.81025477306684e-5
1140	2.16649314097594e-5
1145	2.35066036111675e-5
1150	2.76864720945014e-5
1155	3.0185883588274e-5
1160	3.02589432976674e-5
1165	2.98421073239297e-5
1170	2.92812528641662e-5
1175	2.76282971753972e-5
1180	2.48693995672511e-5
1185	2.0597364709829e-5
1190	1.51519507198827e-5
1195	9.60089801083086e-6
1200	5.17298258273513e-6
1205	2.93000266538002e-6
1210	2.62900334746519e-6
1215	3.98178235627711e-6
1220	6.46948456051177e-6
1225	8.44189526105765e-6
1230	9.24352389120031e-6
1235	8.87318219611188e-6
1240	8.46461625769734e-6
1245	9.93873891275143e-6
1250	1.46385782500147e-5
1255	2.36755677178735e-5
1260	3.64961124432739e-5
1265	5.16021209477913e-5
1270	6.75378396408632e-5
1275	8.20622444734909e-5
1280	9.29521847865544e-5
1285	9.83893114607781e-5
1290	9.76978772087023e-5
1295	9.21704777283594e-5
1300	8.44067908474244e-5
1305	7.84555450081825e-5
1310	7.60146431275643e-5
1315	7.59090544306673e-5
1320	7.47284429962747e-5
1325	6.93215260980651e-5
1330	6.03846092417371e-5
1335	5.65184927836526e-5
1340	7.93483268353157e-5
1345	1.63075266755186e-4
1350	3.28147027175874e-4
1355	5.43929461855441e-4
1360	7.16229842510074e-4
1365	7.7896163566038e-4
1370	7.46474368497729e-4
1375	6.71820132993162e-4
1380	5.96696860156953e-4
1385	5.36861480213702e-4
1390	4.88907273393124e-4
1395	4.44895151304081e-4
1400	3.97174502722919e-4
1405	3.45050531905144e-4
1410	2.92179436655715e-4
1415	2.49271019129083e-4
