Position (cm^-1)	Sample Intensity (V)
760	1.34323418023996e-4
765	9.78528551058844e-5
770	7.9045923484955e-5
775	7.19571762601845e-5
780	7.75303851696663e-5
785	8.97345380508341e-5
790	1.14394752017688e-4
795	1.45896861795336e-4
800	1.77137335413136e-4
805	2.00359281734563e-4
810	2.09733407245949e-4
815	2.04379161004908e-4
820	1.88470090506598e-4
825	1.68785234563984e-4
830	1.51461994391866e-4
835	1.3935191964265e-4
840	1.33109264425002e-4
845	1.30415573948994e-4
850	1.27901410451159e-4
855	1.22363664559089e-4
860	1.12218694994226e-4
865	9.81592238531448e-5
870	8.16492320154794e-5
875	6.45667241769843e-5
880	4.90270685986616e-5
885	3.60015073965769e-5
890	2.6018973585451e-5
895	1.92638708540471e-5
900	1.56311580212787e-5
905	1.49004717968637e-5
910	1.59276733029401e-5
915	1.7548656614963e-5
920	1.90842511074152e-5
925	1.97537847270723e-5
930	1.97601730178576e-5
935	1.94580643437803e-5
940	1.88869234989397e-5
945	1.76862849912141e-5
950	1.52498096213094e-5
955	1.18562929856125e-5
960	9.19599642656976e-6
965	9.8582877399167e-6
970	2.0388486518641e-5
975	4.89837184431963e-5
980	9.95319569483399e-5
985	1.62793017807417e-4
990	2.14746702113189e-4
995	2.36003732425161e-4
1000	2.25607756874524e-4
1005	1.954728650162e-4
1010	1.5861596330069e-4
1015	1.23670630273409e-4
1020	9.53417111304589e-5
1025	7.60163165978156e-5
1030	6.52558446745388e-5
1035	6.18644116912037e-5
1040	6.29053174634464e-5
1045	6.57077034702525e-5
1050	6.99897791491821e-5
1055	7.67058372730389e-5
1060	8.76008198247291e-5
1065	1.04737053334247e-4
1070	1.29008258227259e-4
1075	1.60891388077289e-4
1080	1.97558561922051e-4
1085	2.34072213061154e-4
1090	2.65387498075142e-4
1095	2.86758819129318e-4
1100	2.94076045975089e-4
1105	2.8551576542668e-4
1110	2.62444198597223e-4
1115	2.29240729822777e-4
1120	1.90341437701136e-4
1125	1.51280633872375e-4
1130	1.17961360956542e-4
1135	9.30564128793776e-5
1140	7.42129050195217e-5
1145	5.88409748161212e-5
1150	4.61639829154592e-5
1155	3.70175657735672e-5
1160	3.23566200677305e-5
1165	3.29685462929774e-5
1170	3.87178624805529e-5
1175	4.67887439299375e-5
1180	5.32266094523948e-5
1185	5.65479385841172e-5
1190	5.69297444599215e-5
1195	5.41326589882374e-5
1200	4.91007558593992e-5
1205	4.29098727181554e-5
1210	3.66665117326193e-5
1215	3.06605652440339e-5
1220	2.41360830841586e-5
1225	1.7527458112454e-5
1230	1.08938002085779e-5
1235	4.30193676947965e-6
1240	-1.0243191184145e-8
1245	8.04913156571274e-7
1250	9.4848783191992e-6
1255	2.68358053290285e-5
1260	5.09771853103302e-5
1265	8.00765410531312e-5
1270	1.10157328890637e-4
1275	1.37149865622632e-4
1280	1.57424525241368e-4
1285	1.6821944154799e-4
1290	1.69151142472401e-4
