Wavenumber (cm^-1)	Intensity (V)
760	1.17331723940758e-5
761.998207885305	1.3067880339078e-5
763.996415770609	1.1787650269382e-5
765.994623655914	7.02764591450156e-6
767.992831541219	7.73585829348234e-6
769.991039426523	7.41580077605833e-6
771.989247311828	8.69603084575435e-6
773.987455197133	9.60172552272015e-6
775.985663082437	1.21962343341786e-5
777.983870967742	8.65517243927469e-6
779.982078853047	7.4838981201911e-6
781.980286738351	1.42323449237483e-6
783.978494623656	6.8710220229962e-6
785.976702508961	5.01877426258493e-6
787.974910394265	4.68509727633437e-6
789.97311827957	5.96532734603039e-6
791.971326164875	2.94861500094881e-6
793.969534050179	3.46615481635784e-6
795.967741935484	3.98369463176687e-6
797.965949820789	1.4913318365076e-6
799.964157706093	3.7113052552358e-6
801.962365591398	7.71542909024251e-6
803.960573476703	1.33811281220887e-5
805.958781362007	1.42527741269881e-5
807.956989247312	9.56767685065377e-6
809.955197132616	2.04292032398301e-6
811.953405017921	6.96635830478207e-6
813.951612903226	1.01737432134354e-5
815.94982078853	8.70965031458091e-6
817.948028673835	1.26661060086947e-5
819.94623655914	1.15833582369837e-5
821.944444444445	8.87308394049955e-6
823.942652329749	1.02214113543283e-5
825.940860215054	3.0099026106683e-6
827.939068100359	4.17436719533862e-6
829.937275985663	8.79136712754023e-6
831.935483870968	6.93230963271568e-6
833.933691756272	9.56086711624049e-6
835.931899641577	3.60234950462338e-6
837.930107526882	1.30746900734913e-6
839.928315412186	4.42632736862986e-6
841.926523297491	4.46718577510952e-6
843.924731182796	2.3084999661008e-6
845.9229390681	6.45562822378632e-6
847.921146953405	5.88361053307107e-6
849.91935483871	3.96326542852704e-6
851.917562724014	2.73751323413723e-6
853.915770609319	6.71439813149083e-6
855.913978494624	8.71646004899418e-6
857.912186379928	6.57139370881202e-6
859.910394265233	3.55468136373044e-6
861.908602150538	7.62009280845663e-6
863.906810035842	8.13763262386566e-6
865.905017921147	6.67353972501117e-6
867.903225806452	5.27073443587617e-6
869.901433691756	6.25814592580129e-6
871.899641577061	3.74535392730219e-7
873.897849462366	4.40589816539003e-6
875.89605734767	2.33573890375391e-6
877.894265232975	1.35513714824206e-6
879.89247311828	4.3854689621502e-6
881.890681003584	1.70243360331918e-6
883.888888888889	2.00887165191663e-6
885.887096774194	3.86792914674117e-6
887.885304659498	5.31840257676911e-6
889.883512544803	2.09058846487595e-6
891.881720430107	6.42157955171993e-6
893.879928315412	4.09946011679258e-6
895.878136200717	2.1042079337025e-6
897.876344086022	5.54312381240724e-6
899.874551971326	9.13866358261734e-6
901.872759856631	7.20469900924675e-6
903.870967741936	4.30375214919088e-6
905.86917562724	2.80561057827e-6
907.867383512545	4.67147780750782e-6
909.865591397849	1.51176103974743e-6
911.863799283154	7.25917688455297e-6
913.862007168459	7.74266802789561e-6
915.860215053764	1.32108847617568e-6
917.858422939068	2.00887165191663e-6
919.856630824373	1.17127431908359e-6
921.854838709677	1.8999159013042e-6
923.853046594982	9.13185384820406e-6
925.851254480287	5.86999106424452e-6
927.849462365591	4.76000435488042e-6
929.847670250896	3.56830083255699e-6
931.845878136201	1.07593803729772e-5
933.844086021506	8.03548660766651e-6
935.84229390681	3.40486720663835e-6
937.840501792115	1.92034510454403e-6
939.838709677419	4.24246453947139e-6
941.836917562724	6.01299548692333e-6
943.835125448029	8.54621668866226e-6
945.833333333333	6.8097344132767e-6
947.831541218638	2.08377873046267e-6
949.829749103943	5.1753981540903e-7
951.827956989247	2.13144687135561e-6
953.826164874552	1.75691147862539e-6
955.824372759857	1.23937166321636e-6
957.822580645161	7.49751758901765e-6
959.820788530466	2.66941589000447e-6
961.818996415771	5.02558399699821e-6
963.817204301075	7.06169458656794e-6
965.81541218638	7.85162377850804e-6
967.813620071685	6.31943353552078e-6
969.811827956989	4.5897609945485e-6
971.810035842294	2.50598226408583e-6
973.808243727599	6.04023442457644e-6
975.806451612903	3.77940259936857e-6
977.804659498208	2.1927344810751e-6
979.802867383513	2.26764155962114e-6
981.801075268817	5.21625656056996e-6
983.799283154122	6.32624326993406e-6
985.797491039427	4.8825795743194e-6
987.795698924731	1.34832741382879e-6
989.793906810036	9.94221224338399e-6
991.792114695341	1.001711932193e-5
993.790322580645	9.02289809759163e-6
995.78853046595	1.02826989640478e-5
997.786738351254	5.96532734603039e-6
999.784946236559	3.03033181390813e-6
1001.78315412186	1.09636724053755e-6
1003.78136200717	3.76578313054202e-6
1005.77956989247	2.79880084385673e-6
1007.77777777778	2.74432296855051e-6
1009.77598566308	5.50907514034085e-6
1011.77419354839	2.59450881145842e-6
1013.77240143369	3.62958844227648e-6
1015.770609319	6.38072114524027e-6
1017.7688172043	8.25339810889137e-6
1019.76702508961	7.75628749672217e-6
1021.76523297491	5.89042026748435e-6
1023.76344086022	3.34357959691886e-6
1025.76164874552	4.05860171031292e-6
1027.75985663082	5.28435390470272e-6
1029.75806451613	7.3953715728185e-6
1031.75627240143	4.11988932003241e-6
1033.75448028674	1.1862557347928e-5
1035.75268817204	6.10152203429593e-6
1037.75089605735	1.15084511584376e-6
1039.74910394265	3.58192030138355e-6
1041.74731182796	2.62174774911153e-6
1043.74551971326	3.6840663175827e-6
1045.74372759857	1.47771236768104e-6
1047.74193548387	2.79199110944345e-7
1049.74014336918	2.1927344810751e-6
1051.73835125448	6.48286716143942e-6
1053.73655913979	6.10152203429593e-6
1055.73476702509	4.57614152572195e-6
1057.73297491039	2.74432296855051e-6
1059.7311827957	3.0984291580409e-6
1061.729390681	3.24824331513299e-6
1063.72759856631	2.56046013939204e-6
1065.72580645161	3.888358349981e-6
1067.72401433692	5.22306629498323e-6
1069.72222222222	4.43313710304313e-6
1071.72043010753	3.05757075156124e-6
1073.71863799283	2.54684067056549e-6
1075.71684587814	6.82335388210326e-6
1077.71505376344	6.78930521003688e-6
1079.71326164875	2.88732739122932e-6
1081.71146953405	3.12566809569401e-6
1083.70967741935	2.81242031268328e-6
1085.70788530466	2.94180526653554e-6
1087.70609318996	1.77734068186522e-6
1089.70430107527	9.66982286685292e-7
1091.70250896057	3.35038933133214e-6
1093.70071684588	3.15971676776039e-6
1095.69892473118	7.13660166511399e-6
1097.69713261649	7.79033616878855e-6
1099.69534050179	1.49814157092087e-6
1101.6935483871	3.58873003579682e-6
1103.6917562724	2.46512385760617e-6
1105.68996415771	8.0082476700134e-6
1107.68817204301	1.22847608815512e-5
1109.68637992832	1.24822431795362e-5
1111.68458781362	8.28744678095775e-6
1113.68279569892	2.96223446977537e-6
1115.68100358423	8.60750429838175e-6
1117.67921146953	6.76206627238377e-6
1119.67741935484	5.57717248447362e-6
1121.67562724014	3.11885836128073e-6
1123.67383512545	5.74060611039226e-6
1125.67204301075	6.36029194200044e-6
1127.67025089606	2.95542473536209e-6
1129.66845878136	5.85637159541797e-6
1131.66666666667	4.69871674516093e-6
1133.66487455197	7.14341139952726e-6
1135.66308243728	5.69293796949932e-6
1137.66129032258	3.2141946430666e-6
1139.65949820789	5.2026370917434e-6
1141.65770609319	7.10936272746088e-6
1143.65591397849	6.32624326993406e-6
1145.6541218638	8.60750429838175e-6
1147.6523297491	6.59863264646513e-6
1149.65053763441	6.30581406669423e-6
1151.64874551971	4.63061940102816e-6
1153.64695340502	5.75422557921882e-6
1155.64516129032	6.40796008289338e-6
1157.64336917563	6.85059281975636e-6
1159.64157706093	2.26083182520787e-6
1161.63978494624	1.38237608589517e-6
1163.63799283154	4.71233621398748e-6
1165.63620071685	7.61328307404336e-6
1167.63440860215	2.59450881145842e-6
1169.63261648746	6.44200875495976e-6
1171.63082437276	3.07799995480107e-6
1173.62903225806	6.87783175740947e-6
1175.62724014337	8.02186713883996e-6
1177.62544802867	5.12773001319736e-6
1179.62365591398	3.84749994350134e-6
1181.62186379928	4.28332294595105e-6
1183.62007168459	9.70387153891931e-6
1185.61827956989	1.07729998418037e-5
1187.6164874552	4.11307958561913e-6
1189.6146953405	3.35719906574542e-6
1191.61290322581	3.42529640987818e-6
1193.61111111111	3.07799995480107e-6
1195.60931899642	5.51588487475413e-6
1197.60752688172	5.98575654927022e-6
1199.60573476703	4.73957515164059e-6
1201.60394265233	4.99153532493182e-6
1203.60215053763	5.57717248447362e-6
1205.60035842294	4.9983450593451e-6
1207.59856630824	6.58501317763857e-6
1209.59677419355	1.0384844980247e-5
1211.59498207885	8.40321226598345e-6
1213.59318996416	6.80292467886343e-6
1215.59139784946	5.93127867396401e-6
1217.58960573477	2.57407960821859e-6
1219.58781362007	8.7981768619535e-6
1221.58602150538	1.1099867093641e-5
1223.58422939068	1.05278494029258e-5
1225.58243727599	7.05488485215467e-6
1227.58064516129	6.44881848937304e-6
